Timestamp,Spin,Provedor,Estrategia_Indicada,Stake,Hedge_Zero,Momento,Resultado_R$,Banca_Atual,VIX_Atual
2026-06-20T16:44:36.512Z,3,PRAGMATIC,CROSS_GRID_HEDGE_SKIPPED,0.00,0.00,PULOU,0.00,20.00,55.1
2026-06-20T16:44:40.398Z,12,PRAGMATIC,CROSS_GRID_HEDGE_SKIPPED,0.00,0.00,PULOU,0.00,20.00,55.1
2026-06-20T16:44:44.546Z,25,PRAGMATIC,CROSS_GRID_HEDGE_SKIPPED,0.00,0.00,PULOU,0.00,20.00,53.9
2026-06-20T16:44:53.670Z,36,PRAGMATIC,CROSS_GRID_HEDGE_SKIPPED,0.00,0.00,PULOU,0.00,20.00,53.9
2026-06-20T16:45:00.066Z,17,PRAGMATIC,CROSS_GRID_HEDGE_SKIPPED,0.00,0.00,PULOU,0.00,20.00,52.8
2026-06-20T16:45:18.899Z,2,PRAGMATIC,CROSS_GRID_HEDGE_SKIPPED,0.00,0.00,PULOU,0.00,20.00,52.8
2026-06-20T16:45:52.993Z,25,PRAGMATIC,CROSS_GRID_HEDGE_SKIPPED,0.00,0.00,PULOU,0.00,20.00,51.7
2026-06-20T16:46:14.721Z,36,PRAGMATIC,CROSS_GRID_HEDGE_SKIPPED,0.00,0.00,PULOU,0.00,20.00,51.7
2026-06-20T16:46:56.633Z,21,PRAGMATIC,CROSS_GRID_HEDGE_SKIPPED,0.00,0.00,PULOU,0.00,20.00,51.7
2026-06-20T16:47:31.398Z,4,PRAGMATIC,CROSS_GRID_HEDGE_SKIPPED,0.00,0.00,PULOU,0.00,20.00,51.7
2026-06-20T16:48:28.073Z,15,PRAGMATIC,CROSS_GRID_HEDGE_SKIPPED,0.00,0.00,PULOU,0.00,20.00,51.7
2026-06-20T16:49:47.277Z,12,PRAGMATIC,CROSS_GRID_HEDGE_SKIPPED,0.00,0.00,PULOU,0.00,20.00,50.6
2026-06-20T16:50:31.533Z,5,PRAGMATIC,CROSS_GRID_HEDGE_SKIPPED,0.00,0.00,PULOU,0.00,20.00,50.6
---,---,---,---,SESSÃO ENCERRADA,---,---,MOTIVO:,USER_EXIT_COMMAND,---
